tijd,Cadence (RPM),Heart Rate (BPM),Speed (km/h),Power (W),Pedal Pressure (N)
0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0
125,0.0,42.0,0.0,0.0,0.0
130,0.0,69.8,0.0,0.0,0.0
135,0.0,68.6,0.0,0.0,0.0
140,0.0,67.4,0.0,0.0,0.0
145,0.0,65.8,0.0,0.0,0.0
150,0.0,65.0,0.0,0.0,0.0
155,6.6,65.4,4.0,5.1,17.4
160,28.1,68.2,16.9,21.7,43.4
165,56.0,73.0,33.7,73.5,70.1
170,80.6,78.0,48.5,100.0,69.7
175,81.3,84.6,48.9,100.0,69.1
180,81.3,93.4,48.9,100.0,69.1
185,79.8,102.6,48.0,100.0,70.4
190,80.3,107.2,48.3,100.0,70.0
195,79.6,109.0,47.8,112.0,79.2
200,79.2,110.0,47.6,120.0,85.1
205,79.8,108.6,48.0,120.0,84.5
210,79.5,107.2,47.8,120.0,84.8
215,80.1,106.2,48.2,120.0,84.2
220,79.5,106.0,47.8,120.0,84.8
225,79.0,108.0,47.5,132.0,93.9
230,79.2,111.6,47.6,140.0,99.3
235,80.1,115.2,48.2,140.0,98.1
240,80.3,119.0,48.3,140.0,98.0
245,79.5,122.2,47.8,140.0,99.0
250,79.7,124.8,47.9,140.0,98.7
255,80.3,127.0,48.3,152.0,106.4
260,80.1,129.2,48.2,160.0,112.2
265,80.0,131.2,48.1,160.0,112.3
270,79.7,135.6,47.9,160.0,112.8
275,79.5,139.4,47.8,176.0,124.3
280,79.6,142.2,47.8,180.0,127.1
285,80.6,143.8,48.5,180.0,125.5
290,80.7,144.4,48.5,180.0,125.3
295,78.5,148.8,47.2,192.0,137.5
300,78.5,150.8,47.2,200.0,143.2
305,79.7,154.2,47.9,200.0,141.0
310,79.5,155.8,47.8,200.0,141.3
315,79.2,157.4,47.6,200.0,141.9
320,78.6,158.8,47.3,200.0,142.9
325,78.1,160.2,47.0,212.0,152.5
330,79.0,161.6,47.5,220.0,156.5
335,78.0,162.8,46.9,220.0,158.4
340,79.1,163.8,47.6,220.0,156.3
345,79.2,164.8,47.6,220.0,156.1
350,78.4,166.2,47.1,220.0,157.6
355,78.2,167.6,47.0,232.0,166.8
360,79.0,168.0,47.5,240.0,170.8
365,78.5,168.8,47.2,240.0,171.7
370,79.4,169.6,47.8,240.0,169.7
375,80.2,170.2,48.3,240.0,168.0
380,79.5,170.8,47.8,240.0,169.6
385,78.5,170.0,47.2,252.0,180.3
390,79.9,171.0,48.0,260.0,182.9
395,80.4,171.4,48.3,260.0,181.8
400,81.7,172.4,49.1,260.0,178.7
405,80.9,173.2,48.6,260.0,180.6
410,80.4,174.0,48.3,260.0,181.7
415,79.3,174.4,47.7,272.0,193.0
420,79.1,175.0,47.6,280.0,198.8
425,79.7,175.0,47.9,280.0,197.5
430,79.0,175.8,47.5,280.0,199.2
435,78.7,176.2,47.3,280.0,200.0
440,79.8,177.0,48.0,280.0,197.1
445,77.4,177.6,46.6,292.0,212.2
450,80.8,178.0,48.6,300.0,208.5
455,80.0,179.0,48.1,300.0,210.6
460,79.7,179.2,47.9,300.0,211.5
465,78.6,180.2,47.3,300.0,214.4
470,74.5,181.2,44.8,300.0,226.4
475,74.5,182.0,44.8,312.0,236.2
480,68.6,182.8,41.3,320.0,262.2
485,63.4,183.0,38.1,320.0,287.3
490,43.6,183.0,26.2,245.0,306.0
495,7.9,183.0,4.7,14.5,57.9
500,23.8,183.8,14.3,30.0,42.5
505,56.9,182.8,34.2,50.0,50.0
510,66.2,180.6,39.8,50.0,42.5
515,67.8,178.4,40.8,50.0,41.4
520,70.2,176.6,42.2,50.4,40.3
525,70.3,175.0,42.2,50.4,40.3
530,71.8,173.4,43.2,51.7,40.4
535,73.0,172.8,43.9,52.6,40.5
540,74.9,172.0,45.1,54.3,40.7
545,74.0,172.4,44.5,53.1,40.3
550,71.2,173.0,42.8,51.0,40.2
555,72.4,172.8,43.5,51.7,40.1
560,70.5,171.8,42.4,50.2,40.0
565,68.3,170.6,41.1,50.0,41.1
570,67.7,168.8,40.7,50.0,41.5
575,67.1,166.6,40.3,50.0,41.9
580,66.8,164.4,40.2,50.0,42.0
585,63.1,163.0,38.0,50.0,44.5
590,57.4,161.0,34.5,50.0,49.0
595,59.4,158.6,35.7,50.0,47.3
600,56.0,158.0,33.7,50.0,50.1
605,58.0,157.8,34.9,50.0,48.5
610,59.8,155.8,35.9,50.0,47.0
615,57.8,153.2,34.8,50.0,48.6
620,58.6,151.4,35.2,50.0,48.0
625,32.3,148.4,19.4,50.0,97.7
630,5.5,145.0,3.3,3.8,15.4
635,0.0,142.6,0.0,0.0,0.0
640,0.0,142.0,0.0,0.0,0.0
645,0.0,142.0,0.0,0.0,0.0
650,0.0,142.0,0.0,0.0,0.0
655,0.0,142.0,0.0,0.0,0.0
660,0.0,143.6,0.0,0.0,0.0
