tijd,Cadence (RPM),Heart Rate (BPM),Speed (km/h),Power (W),Pedal Pressure (N)
0,0.0,102.4,0.0,0.0,0.0
5,0.0,101.6,0.0,0.0,0.0
10,0.0,97.0,0.0,0.0,0.0
15,0.0,91.0,0.0,0.0,0.0
20,0.0,87.4,0.0,0.0,0.0
25,0.0,86.0,0.0,0.0,0.0
30,0.0,86.8,0.0,0.0,0.0
35,0.0,91.2,0.0,0.0,0.0
40,0.0,100.8,0.0,0.0,0.0
45,0.0,106.6,0.0,0.0,0.0
50,0.0,103.6,0.0,0.0,0.0
55,0.0,101.4,0.0,0.0,0.0
60,0.0,101.2,0.0,0.0,0.0
65,0.0,103.2,0.0,0.0,0.0
70,0.0,104.2,0.0,0.0,0.0
75,0.0,100.2,0.0,0.0,0.0
80,0.0,94.4,0.0,0.0,0.0
85,0.0,91.0,0.0,0.0,0.0
90,0.0,90.0,0.0,0.0,0.0
95,0.0,90.8,0.0,0.0,0.0
100,0.0,91.2,0.0,0.0,0.0
105,0.0,92.6,0.0,0.0,0.0
110,31.0,98.8,18.7,25.0,45.3
115,60.7,115.2,36.5,100.0,93.2
120,70.4,130.4,42.3,100.0,79.8
125,73.4,142.8,44.1,100.0,76.6
130,79.1,156.0,47.5,100.0,71.1
135,80.3,161.0,48.3,100.0,70.0
140,79.9,162.0,48.0,100.0,70.3
145,79.3,162.4,47.7,100.0,70.8
150,78.8,163.0,47.4,100.0,71.2
155,78.4,163.0,47.1,100.0,71.7
160,79.0,161.4,47.5,100.0,71.1
165,79.3,160.0,47.7,100.0,70.9
170,78.7,160.4,47.3,105.0,75.0
175,77.6,161.0,46.6,125.0,90.5
180,78.9,161.0,47.5,125.0,89.0
185,78.2,161.0,47.0,125.0,89.8
190,79.1,161.4,47.5,125.0,88.8
195,78.1,163.4,47.0,125.0,89.9
200,78.4,164.0,47.1,125.0,89.6
205,78.0,164.2,46.9,125.0,90.0
210,77.5,165.0,46.6,125.0,90.5
215,78.1,165.6,47.0,125.0,89.9
220,78.9,166.8,47.4,125.0,89.0
225,79.3,167.0,47.7,125.0,88.5
230,81.0,167.0,48.7,130.0,90.1
235,80.4,167.6,48.3,150.0,104.8
240,80.3,169.8,48.3,150.0,104.9
245,80.0,171.6,48.1,150.0,105.3
250,79.7,172.8,47.9,150.0,105.7
255,79.8,173.0,48.0,150.0,105.7
260,80.4,173.0,48.3,150.0,104.8
265,80.4,173.0,48.3,150.0,104.8
270,80.0,174.0,48.1,150.0,105.3
275,80.8,174.0,48.6,150.0,104.3
280,80.3,174.0,48.3,150.0,105.0
285,80.5,174.6,48.4,150.0,104.6
290,84.7,175.0,50.9,155.0,102.7
295,82.7,175.0,49.7,175.0,118.9
300,81.5,175.8,49.0,175.0,120.7
305,81.4,176.6,49.0,175.0,120.7
310,80.3,177.0,48.3,175.0,122.4
315,80.8,177.0,48.6,175.0,121.6
320,81.4,177.0,49.0,175.0,120.7
325,80.3,177.0,48.3,175.0,122.4
330,80.9,177.2,48.6,175.0,121.5
335,81.5,178.0,49.0,175.0,120.7
340,81.5,178.2,49.0,175.0,120.7
345,80.1,179.0,48.2,175.0,122.8
350,81.0,179.0,48.7,180.0,124.9
355,79.0,179.0,47.5,200.0,142.2
360,78.6,179.8,47.3,200.0,142.9
365,78.3,180.0,47.1,200.0,143.6
370,76.6,180.8,46.1,200.0,146.7
375,75.1,181.4,45.1,200.0,149.7
380,73.8,182.6,44.4,200.0,152.2
385,72.3,183.0,43.5,200.0,155.5
390,63.9,183.0,38.4,200.0,183.7
395,9.9,183.8,5.9,20.4,63.0
400,0.0,183.8,0.0,0.0,0.0
405,4.8,181.0,2.9,3.8,8.9
410,31.8,176.4,19.1,25.3,44.6
415,30.5,175.0,18.3,24.3,44.7
420,19.7,174.2,11.8,50.6,154.9
425,18.5,173.2,11.1,50.0,152.1
430,15.1,172.4,9.1,39.6,148.5
435,29.2,171.0,17.6,50.0,97.4
440,31.2,170.0,18.8,50.0,90.2
445,32.5,169.0,19.6,50.0,86.7
450,36.2,169.0,21.8,50.0,77.6
455,33.6,169.0,20.2,50.0,83.7
460,34.1,169.0,20.5,50.0,82.5
465,34.6,168.4,20.8,50.0,81.2
470,32.1,167.2,19.3,50.0,87.7
475,32.4,167.0,19.5,50.0,86.8
480,29.3,166.0,17.6,50.0,96.0
485,28.5,164.4,17.1,50.0,98.7
490,31.1,162.8,18.7,50.0,90.5
495,31.9,161.4,19.2,50.0,88.2
500,31.6,160.4,19.0,50.0,89.2
505,34.0,159.6,20.5,50.0,82.6
510,33.2,158.6,20.0,50.0,84.6
515,31.5,157.4,18.9,50.0,89.1
520,33.1,155.2,19.9,50.0,84.9
525,33.5,155.0,20.1,50.0,84.0
