tijd,Cadence (RPM),Heart Rate (BPM),Speed (km/h),Power (W),Pedal Pressure (N)
0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,0.0
160,0.0,35.6,0.0,0.0,0.0
165,0.0,89.0,0.0,0.0,0.0
170,0.0,89.2,0.0,0.0,0.0
175,0.0,89.2,0.0,0.0,0.0
180,0.0,88.0,0.0,0.0,0.0
185,0.0,86.2,0.0,0.0,0.0
190,0.0,84.4,0.0,0.0,0.0
195,0.0,83.0,0.0,0.0,0.0
200,0.0,82.2,0.0,0.0,0.0
205,0.0,81.8,0.0,0.0,0.0
210,0.0,81.0,0.0,0.0,0.0
215,0.0,80.4,0.0,0.0,0.0
220,0.0,80.2,0.0,0.0,0.0
225,0.0,81.0,0.0,0.0,0.0
230,0.0,80.6,0.0,0.0,0.0
235,0.0,79.8,0.0,0.0,0.0
240,0.0,79.0,0.0,0.0,0.0
245,0.0,78.4,0.0,0.0,0.0
250,0.0,79.2,0.0,0.0,0.0
255,0.0,80.0,0.0,0.0,0.0
260,0.0,80.0,0.0,0.0,0.0
265,0.0,80.0,0.0,0.0,0.0
270,0.0,79.4,0.0,0.0,0.0
275,0.0,78.6,0.0,0.0,0.0
280,0.0,78.0,0.0,0.0,0.0
285,0.0,78.0,0.0,0.0,0.0
290,0.0,78.0,0.0,0.0,0.0
295,0.0,78.8,0.0,0.0,0.0
300,0.0,79.0,0.0,0.0,0.0
305,0.0,79.0,0.0,0.0,0.0
310,0.0,79.0,0.0,0.0,0.0
315,0.0,79.4,0.0,0.0,0.0
320,0.0,80.0,0.0,0.0,0.0
325,0.0,80.8,0.0,0.0,0.0
330,0.0,81.0,0.0,0.0,0.0
335,0.0,81.0,0.0,0.0,0.0
340,0.0,81.0,0.0,0.0,0.0
345,0.0,80.2,0.0,0.0,0.0
350,0.0,79.6,0.0,0.0,0.0
355,0.0,79.0,0.0,0.0,0.0
360,22.4,79.0,13.4,28.3,27.8
365,69.2,79.4,41.6,100.0,81.2
370,78.1,83.0,47.0,100.0,71.9
375,82.4,88.6,49.5,100.0,68.2
380,80.8,94.0,48.6,100.0,69.5
385,78.8,97.4,47.4,100.0,71.3
390,79.3,105.2,47.7,108.0,76.5
395,77.4,111.2,46.5,120.0,87.1
400,77.4,113.8,46.5,120.0,87.1
405,77.4,116.2,46.5,120.0,87.1
410,78.7,118.2,47.3,120.0,85.6
415,79.7,120.8,47.9,120.0,84.6
420,78.1,123.2,47.0,124.0,89.2
425,78.2,126.2,47.0,140.0,100.6
430,78.8,128.8,47.4,140.0,99.8
435,78.3,131.2,47.1,140.0,100.4
440,79.7,133.2,47.9,140.0,98.7
445,80.2,135.0,48.2,140.0,98.0
450,79.1,136.6,47.6,148.0,105.2
455,76.9,137.8,46.2,160.0,116.9
460,78.5,139.4,47.2,160.0,114.5
465,80.5,140.4,48.4,160.0,111.7
470,80.4,141.0,48.3,160.0,111.8
475,79.3,141.6,47.7,160.0,113.4
480,78.6,142.6,47.2,164.0,117.3
485,78.9,143.2,47.4,180.0,128.2
490,77.1,144.0,46.4,180.0,131.1
495,77.8,144.4,46.8,180.0,129.9
500,76.7,145.0,46.1,180.0,131.8
505,77.6,145.6,46.6,180.0,130.4
510,77.7,146.6,46.7,188.0,135.9
515,77.6,147.2,46.7,200.0,144.7
520,77.1,148.8,46.3,200.0,145.8
525,76.9,150.0,46.2,200.0,146.1
530,77.7,150.2,46.7,200.0,144.6
535,78.4,151.0,47.1,200.0,143.3
540,78.7,151.4,47.3,204.0,145.6
545,79.2,152.6,47.6,220.0,156.0
550,78.2,154.0,47.0,220.0,158.0
555,78.0,155.4,46.9,220.0,158.5
560,77.2,156.4,46.4,220.0,160.2
565,77.8,157.6,46.8,220.0,158.8
570,77.5,158.0,46.6,228.0,165.3
575,77.1,158.0,46.4,240.0,174.8
580,77.7,158.0,46.7,240.0,173.5
585,78.6,158.8,47.2,240.0,171.6
590,78.8,159.0,47.4,240.0,171.2
595,78.2,159.0,47.0,240.0,172.5
600,82.6,160.0,49.7,244.0,166.0
605,85.7,161.0,51.5,260.0,170.5
610,82.1,161.8,49.3,260.0,178.1
615,78.6,162.4,47.2,260.0,185.9
620,79.4,163.8,47.7,260.0,184.0
625,83.1,165.0,50.0,260.0,175.8
630,85.7,166.2,51.6,268.0,175.6
635,85.7,167.2,51.5,280.0,183.6
640,82.4,168.0,49.5,280.0,191.1
645,80.2,169.0,48.2,280.0,196.1
650,81.2,170.0,48.8,280.0,193.6
655,81.1,170.6,48.7,280.0,194.0
660,84.5,171.0,50.8,284.0,188.8
665,82.6,171.0,49.7,300.0,204.1
670,70.0,171.0,42.1,300.0,245.1
675,15.1,171.0,9.1,46.6,114.4
680,7.0,170.6,4.2,20.0,69.7
685,15.1,167.8,9.1,39.3,148.1
