tijd,VO2 (mL/min),VCO2 (mL/min),RER,Energy Expenditure (kJ/min),Energy Expenditure (kcal/min),FiO2 (%),FeO2 (%),FiCO2 (%),FeCO2 (%),Flow (sL/min),Pressure Ambient (mbar),Temperature Flow (Degrees Celsius),Relative Humidity Flow (%),Specific VO2 (mL/min/kg),Specific VCO2 (mL/min/kg),Respiratory Rate (1/min),Ventilation (sL/min)
0,-6,-4,0.652,0.00,0.00,20.86,20.87,0.119,0.114,72.8,1012.9,19.4,36.4,-5.7,-3.7,0,0.0
5,-6,-4,0.606,0.00,0.00,20.86,20.87,0.119,0.114,72.8,1012.9,19.4,36.4,-5.9,-3.6,0,0.0
10,-5,-3,0.683,0.00,0.00,20.86,20.86,0.119,0.115,72.8,1012.9,19.4,36.4,-5.0,-3.4,0,0.0
15,-4,-3,0.747,0.00,0.00,20.86,20.86,0.119,0.115,72.8,1012.9,19.4,36.4,-4.3,-3.2,0,0.0
20,-4,-3,0.793,0.00,0.00,20.86,20.86,0.119,0.115,72.8,1012.9,19.4,36.4,-3.8,-3.1,0,0.0
25,-3,-2,0.668,0.00,0.00,20.86,20.86,0.119,0.116,72.8,1012.9,19.4,36.4,-3.3,-2.2,0,0.0
30,-1,-1,0.497,0.00,0.00,20.86,20.86,0.119,0.119,72.8,1012.9,19.4,36.4,-1.2,-0.6,0,0.0
35,0,0,0.917,0.00,0.00,20.86,20.86,0.119,0.119,72.8,1012.9,19.4,36.4,-0.3,-0.3,0,0.0
40,0,0,1.211,0.00,0.00,20.86,20.86,0.119,0.119,72.8,1012.9,19.4,36.4,-0.3,-0.4,0,0.0
45,-1,-1,0.530,0.00,0.00,20.86,20.86,0.119,0.119,72.8,1012.9,19.4,36.4,-1.2,-0.6,0,0.0
50,-2,-1,0.637,0.00,0.00,20.86,20.86,0.119,0.118,72.8,1012.9,19.4,36.4,-1.8,-1.1,0,0.0
55,-1,-1,1.029,0.00,0.00,20.86,20.86,0.119,0.118,72.8,1012.9,19.4,36.4,-1.3,-1.4,0,0.0
60,-1,-1,0.608,0.00,0.00,20.86,20.86,0.119,0.118,462.6,1012.8,19.4,36.9,-1.2,-0.7,0,0.0
65,-3,1,-0.373,0.00,0.00,20.86,20.86,0.119,0.120,462.6,1012.8,19.4,36.9,-3.0,1.1,0,0.0
70,-3,4,-1.542,0.00,0.00,20.86,20.86,0.119,0.120,462.6,1012.8,19.4,36.9,-2.5,3.9,0,0.0
75,-38,-38,1.003,0.00,0.00,20.85,20.86,0.128,0.120,462.6,1012.8,19.4,36.9,-38.0,-38.1,0,0.0
80,-41,-41,0.992,0.00,0.00,20.85,20.86,0.128,0.119,462.6,1012.8,19.4,36.9,-40.9,-40.5,0,0.0
85,-46,-42,0.917,0.00,0.00,20.85,20.86,0.128,0.119,462.6,1012.8,19.4,36.9,-46.2,-42.4,0,0.0
90,-45,-46,1.017,0.00,0.00,20.85,20.86,0.128,0.118,462.6,1012.8,19.4,36.9,-45.3,-46.0,0,0.0
95,-48,-49,1.012,0.00,0.00,20.85,20.86,0.128,0.118,462.6,1012.8,19.4,36.9,-48.1,-48.7,0,0.0
100,-56,-54,0.959,0.00,0.00,20.85,20.86,0.128,0.117,462.6,1012.8,19.4,36.9,-56.1,-53.8,0,0.0
