Date (dd/mm/yyyy),VO2 (mL/min),VCO2 (mL/min),RER,Energy Expenditure (kJ/min),Energy Expenditure (kcal/min),FiO2 (%),FeO2 (%),FiCO2 (%),FeCO2 (%),Flow (sL/min),Pressure Ambient (mbar),Temperature Flow (Degrees Celsius),Relative Humidity Flow (%),Specific VO2 (mL/min/kg),Specific VCO2 (mL/min/kg),Respiratory Rate (1/min),Ventilation (sL/min)
0,-2,-1,0.702,0.00,0.00,20.89,20.89,0.088,0.086,69.8,1013.2,19.5,34.1,-2.1,-1.5,0,0.0
5,-2,-1,0.749,0.00,0.00,20.89,20.89,0.088,0.086,69.8,1013.2,19.5,34.1,-1.8,-1.4,0,0.0
10,-2,-1,0.609,0.00,0.00,20.89,20.89,0.088,0.086,100.7,1013.2,19.5,34.1,-2.2,-1.3,0,0.0
15,-5,-2,0.398,0.00,0.00,20.89,20.90,0.088,0.086,100.7,1013.2,19.5,34.1,-4.7,-1.9,0,0.0
20,-5,-2,0.372,0.00,0.00,20.89,20.90,0.088,0.086,100.7,1013.2,19.5,34.1,-5.0,-1.9,0,0.0
25,-4,-2,0.470,0.00,0.00,20.89,20.89,0.088,0.087,100.7,1013.2,19.5,34.1,-3.7,-1.8,0,0.0
30,-3,-2,0.555,0.00,0.00,20.89,20.89,0.088,0.087,100.7,1013.2,19.5,34.1,-3.2,-1.8,0,0.0
35,-3,-2,0.630,0.00,0.00,20.89,20.89,0.088,0.086,100.7,1013.2,19.5,34.1,-2.9,-1.9,0,0.0
40,-4,-2,0.501,0.00,0.00,20.89,20.90,0.088,0.086,100.7,1013.2,19.5,34.1,-4.4,-2.2,0,0.0
45,-6,-2,0.424,0.00,0.00,20.89,20.90,0.088,0.086,100.7,1013.2,19.5,34.1,-5.6,-2.4,0,0.0
50,-6,-2,0.415,0.00,0.00,20.89,20.90,0.088,0.086,100.7,1013.2,19.5,34.1,-5.6,-2.3,0,0.0
55,-4,-2,0.469,0.00,0.00,20.89,20.90,0.088,0.086,100.7,1013.2,19.5,34.1,-4.2,-2.0,0,0.0
60,-3,-2,0.568,0.00,0.00,20.89,20.89,0.088,0.087,100.7,1013.2,19.5,34.1,-2.8,-1.6,0,0.0
65,-3,-1,0.393,0.00,0.00,20.89,20.89,0.088,0.087,100.7,1013.2,19.5,34.1,-3.3,-1.3,0,0.0
70,-1,-1,0.450,0.00,0.00,20.89,20.89,0.088,0.088,490.7,1013.1,19.4,34.1,-1.5,-0.7,0,0.0
75,-9,3,-0.306,0.00,0.00,20.89,20.89,0.088,0.089,490.7,1013.1,19.4,34.1,-8.8,2.7,0,0.0
80,0,12,-94.410,0.05,0.01,20.89,20.89,0.088,0.091,490.7,1013.1,19.4,34.1,-0.1,12.2,0,0.0
85,-23,-19,0.823,0.00,0.00,20.88,20.89,0.096,0.093,490.7,1013.1,19.4,34.1,-23.3,-19.2,0,0.0
90,-18,-17,0.948,0.00,0.00,20.88,20.89,0.096,0.093,490.7,1013.1,19.4,34.1,-17.7,-16.8,0,0.0
95,-24,-22,0.941,0.00,0.00,20.88,20.89,0.096,0.092,490.7,1013.1,19.4,34.1,-23.7,-22.3,0,0.0
100,-31,-31,0.977,0.00,0.00,20.88,20.89,0.096,0.090,490.7,1013.1,19.4,34.1,-31.4,-30.7,0,0.0
105,-35,-36,1.022,0.00,0.00,20.88,20.89,0.096,0.089,490.7,1013.1,19.4,34.1,-35.0,-35.8,0,0.0
110,-35,-38,1.088,0.00,0.00,20.88,20.89,0.096,0.089,490.7,1013.1,19.4,34.1,-34.5,-37.6,0,0.0
115,-41,-38,0.935,0.00,0.00,20.88,20.89,0.096,0.089,490.7,1013.1,19.4,34.1,-40.6,-38.0,0,0.0
120,-48,-39,0.810,0.00,0.00,20.88,20.89,0.096,0.089,490.7,1013.1,19.4,34.1,-47.9,-38.7,0,0.0
125,-46,-39,0.847,0.00,0.00,20.88,20.89,0.096,0.088,490.7,1013.1,19.4,34.1,-46.5,-39.3,0,0.0
130,-46,-40,0.855,0.00,0.00,20.88,20.89,0.096,0.088,492.4,1013.1,19.4,34.2,-46.3,-39.6,0,0.0
135,-42,-39,0.951,0.00,0.00,20.88,20.89,0.096,0.088,492.4,1013.1,19.4,34.2,-41.5,-39.5,0,0.0
140,-39,-39,1.000,0.00,0.00,20.88,20.89,0.096,0.088,492.4,1013.1,19.4,34.2,-39.1,-39.1,0,0.0
145,-38,-38,0.984,0.00,0.00,20.88,20.89,0.096,0.089,492.4,1013.1,19.4,34.2,-38.3,-37.6,0,0.0
150,-43,-35,0.814,0.00,0.00,20.88,20.89,0.096,0.089,492.4,1013.1,19.4,34.2,-42.8,-34.8,0,0.0
155,-43,-32,0.737,0.00,0.00,20.88,20.89,0.096,0.090,492.4,1013.1,19.4,34.2,-43.5,-32.1,0,0.0
160,-37,-31,0.839,0.00,0.00,20.88,20.89,0.096,0.090,492.4,1013.1,19.4,34.2,-37.4,-31.4,0,0.0
165,-31,-32,1.038,0.00,0.00,20.88,20.89,0.096,0.090,492.4,1013.1,19.4,34.2,-31.0,-32.2,0,0.0
170,-32,-33,1.024,0.00,0.00,20.88,20.89,0.096,0.090,492.4,1013.1,19.4,34.2,-32.1,-32.8,0,0.0
175,-37,-33,0.896,0.00,0.00,20.88,20.89,0.096,0.090,492.4,1013.1,19.4,34.2,-37.0,-33.1,0,0.0
180,-42,-34,0.807,0.00,0.00,20.88,20.89,0.096,0.090,492.4,1013.1,19.4,34.2,-41.8,-33.7,0,0.0
185,-42,-35,0.832,0.00,0.00,20.88,20.89,0.096,0.089,492.4,1013.1,19.4,34.2,-41.6,-34.6,0,0.0
190,-36,-36,0.991,0.00,0.00,20.88,20.89,0.096,0.089,492.9,1013.1,19.4,34.3,-36.2,-35.9,0,0.0
195,-35,-35,0.988,0.00,0.00,20.88,20.89,0.096,0.089,492.9,1013.1,19.4,34.3,-35.3,-34.9,0,0.0
200,-31,-27,0.860,0.00,0.00,20.88,20.89,0.096,0.091,492.9,1013.1,19.4,34.3,-31.2,-26.8,0,0.0
205,-61,-46,0.758,0.00,0.00,20.88,20.89,0.102,0.092,492.9,1013.1,19.4,34.3,-61.3,-46.5,0,0.0
210,-56,-47,0.845,0.00,0.00,20.88,20.89,0.102,0.092,492.9,1013.1,19.4,34.3,-56.1,-47.4,0,0.0
215,-65,-51,0.788,0.00,0.00,20.88,20.89,0.102,0.091,492.9,1013.1,19.4,34.3,-65.0,-51.3,0,0.0
220,-69,-55,0.790,0.00,0.00,20.88,20.89,0.102,0.091,492.9,1013.1,19.4,34.3,-69.1,-54.6,0,0.0
225,-74,-56,0.759,0.00,0.00,20.88,20.89,0.102,0.090,492.9,1013.1,19.4,34.3,-73.8,-56.0,0,0.0
230,-75,-57,0.769,0.00,0.00,20.88,20.89,0.102,0.090,492.9,1013.1,19.4,34.3,-74.6,-57.4,0,0.0
235,-74,-59,0.791,0.00,0.00,20.88,20.89,0.102,0.090,492.9,1013.1,19.4,34.3,-74.3,-58.7,0,0.0
240,-75,-60,0.791,0.00,0.00,20.88,20.89,0.102,0.090,492.9,1013.1,19.4,34.3,-75.3,-59.6,0,0.0
245,-74,-58,0.785,0.00,0.00,20.88,20.89,0.102,0.090,492.9,1013.1,19.4,34.3,-74.4,-58.4,0,0.0
250,-72,-58,0.802,0.00,0.00,20.88,20.89,0.102,0.090,492.3,1013.1,19.4,34.3,-71.9,-57.7,0,0.0
255,-69,-60,0.869,0.00,0.00,20.88,20.89,0.102,0.089,492.3,1013.1,19.4,34.3,-68.8,-59.8,0,0.0
260,-72,-63,0.883,0.00,0.00,20.88,20.89,0.102,0.089,492.3,1013.1,19.4,34.3,-71.6,-63.2,0,0.0
265,-54,-65,1.213,0.00,0.00,20.88,20.89,0.102,0.088,492.3,1013.1,19.4,34.3,-53.7,-65.1,0,0.0
270,-84,-61,0.727,0.00,0.00,20.88,20.89,0.102,0.089,492.3,1013.1,19.4,34.3,-84.1,-61.1,0,0.0
275,-51,-44,0.857,0.00,0.00,20.88,20.89,0.102,0.093,492.3,1013.1,19.4,34.3,-51.4,-44.1,0,0.0
280,-42,-34,0.800,0.00,0.00,20.88,20.89,0.102,0.095,492.3,1013.1,19.4,34.3,-42.1,-33.7,0,0.0
285,-52,-25,0.476,0.00,0.00,20.88,20.89,0.102,0.097,492.3,1013.1,19.4,34.3,-51.9,-24.7,0,0.0
290,-7,-17,2.478,0.00,0.00,20.88,20.88,0.102,0.098,492.3,1013.1,19.4,34.3,-6.7,-16.7,0,0.0
295,-1,-4,2.814,0.00,0.00,20.88,20.88,0.102,0.101,492.3,1013.1,19.4,34.3,-1.4,-3.9,0,0.0
300,-11,-5,0.473,0.00,0.00,20.88,20.88,0.102,0.101,492.3,1013.1,19.4,34.3,-11.0,-5.2,0,0.0
305,-12,-7,0.585,0.00,0.00,20.88,20.88,0.102,0.100,492.3,1013.1,19.4,34.3,-11.8,-6.9,0,0.0
310,-7,-6,0.856,0.00,0.00,20.88,20.88,0.102,0.100,492.3,1013.1,19.4,34.3,-7.0,-6.0,0,0.0
315,-5,0,-0.027,0.00,0.00,20.88,20.88,0.102,0.102,492.3,1013.1,19.4,34.3,-4.9,0.1,0,0.0
320,-9,6,-0.642,0.00,0.00,20.88,20.88,0.102,0.103,492.3,1013.1,19.4,34.3,-8.9,5.7,0,0.0
325,-2,6,-3.973,0.00,0.00,20.88,20.88,0.102,0.103,492.3,1013.1,19.4,34.3,-1.5,6.0,0,0.0
330,3,4,1.227,0.06,0.02,20.88,20.88,0.102,0.102,492.3,1013.1,19.4,34.3,2.9,3.5,0,0.0
335,-1,0,-0.232,0.00,0.00,20.88,20.88,0.102,0.102,492.3,1013.1,19.4,34.3,-1.2,0.3,0,0.0
340,-7,-6,0.810,0.00,0.00,20.88,20.88,0.102,0.100,492.3,1013.1,19.4,34.3,-7.1,-5.8,0,0.0
345,-16,-12,0.755,0.00,0.00,20.88,20.88,0.102,0.099,492.3,1013.1,19.4,34.3,-15.5,-11.7,0,0.0
350,-27,-17,0.634,0.00,0.00,20.88,20.88,0.102,0.098,438.1,1013.0,19.5,34.7,-26.6,-16.9,0,0.0
355,-30,-21,0.694,0.00,0.00,20.88,20.88,0.102,0.097,438.1,1013.0,19.5,34.7,-29.9,-20.8,0,0.0
360,-38,-25,0.665,0.00,0.00,20.88,20.89,0.102,0.096,438.1,1013.0,19.5,34.7,-37.6,-25.0,0,0.0
365,-42,-28,0.662,0.00,0.00,20.88,20.89,0.102,0.095,438.1,1013.0,19.5,34.7,-42.2,-28.0,0,0.0
370,-45,-31,0.686,0.00,0.00,20.88,20.89,0.102,0.095,438.1,1013.0,19.5,34.7,-44.8,-30.7,0,0.0
375,-44,-32,0.730,0.00,0.00,20.88,20.89,0.102,0.094,438.1,1013.0,19.5,34.7,-44.4,-32.4,0,0.0
380,-44,-32,0.726,0.00,0.00,20.88,20.89,0.102,0.094,438.1,1013.0,19.5,34.7,-44.4,-32.2,0,0.0
385,-42,-24,0.566,0.00,0.00,20.88,20.89,0.102,0.096,438.1,1013.0,19.5,34.7,-42.2,-23.9,0,0.0
390,-22,-1,0.043,0.00,0.00,20.88,20.88,0.102,0.101,438.1,1013.0,19.5,34.7,-21.6,-0.9,0,0.0
395,1,28,47.322,0.14,0.03,20.88,20.88,0.102,0.108,438.1,1013.0,19.5,34.7,0.6,28.1,0,0.0
400,26,54,2.102,0.68,0.16,20.88,20.87,0.102,0.114,438.1,1013.0,19.5,34.7,25.8,54.2,0,0.0
405,45,69,1.527,1.07,0.25,20.88,20.87,0.102,0.117,438.1,1013.0,19.5,34.7,45.2,69.0,0,0.0
410,59,75,1.279,1.32,0.32,20.88,20.86,0.102,0.119,73.0,1013.1,19.5,35.2,59.0,75.5,0,0.0
415,10,12,1.285,0.21,0.05,20.88,20.86,0.102,0.118,73.0,1013.1,19.5,35.2,9.5,12.3,0,0.0
420,7,10,1.387,0.17,0.04,20.88,20.87,0.102,0.116,73.0,1013.1,19.5,35.2,7.5,10.4,0,0.0
425,12,18,1.533,0.28,0.07,20.89,20.87,0.088,0.113,73.0,1013.1,19.5,35.2,11.8,18.1,0,0.0
430,11,17,1.521,0.26,0.06,20.89,20.87,0.088,0.111,73.0,1013.1,19.5,35.2,11.1,16.8,0,0.0
435,11,17,1.577,0.25,0.06,20.89,20.87,0.088,0.111,73.0,1013.1,19.5,35.2,10.7,16.9,0,0.0
440,10,17,1.629,0.25,0.06,20.89,20.87,0.088,0.112,73.0,1013.1,19.5,35.2,10.5,17.0,0,0.0
445,11,16,1.498,0.25,0.06,20.89,20.87,0.088,0.110,73.0,1013.1,19.5,35.2,10.7,16.1,0,0.0
450,9,15,1.674,0.21,0.05,20.89,20.87,0.088,0.108,73.0,1013.1,19.5,35.2,8.7,14.6,0,0.0
455,7,14,1.811,0.19,0.04,20.89,20.87,0.088,0.107,73.0,1013.1,19.5,35.2,7.5,13.6,0,0.0
460,8,13,1.666,0.18,0.04,20.89,20.87,0.088,0.106,73.0,1013.1,19.5,35.2,7.6,12.6,0,0.0
465,7,12,1.795,0.16,0.04,20.89,20.88,0.088,0.104,73.0,1013.1,19.5,35.2,6.5,11.7,0,0.0
470,6,11,1.806,0.15,0.04,20.89,20.88,0.088,0.103,72.7,1013.0,19.5,35.0,6.1,11.1,0,0.0
475,6,11,1.742,0.15,0.04,20.89,20.88,0.088,0.103,72.7,1013.0,19.5,35.0,6.2,10.7,0,0.0
480,6,11,1.951,0.15,0.03,20.89,20.88,0.088,0.104,72.7,1013.0,19.5,35.0,5.7,11.1,0,0.0
485,6,12,1.921,0.16,0.04,20.89,20.88,0.088,0.105,72.7,1013.0,19.5,35.0,6.2,11.9,0,0.0
