tijd,VO2 (mL/min),VCO2 (mL/min),RER,Energy Expenditure (kJ/min),Energy Expenditure (kcal/min),FiO2 (%),FeO2 (%),FiCO2 (%),FeCO2 (%),Flow (sL/min),Pressure Ambient (mbar),Temperature Flow (Degrees Celsius),Relative Humidity Flow (%),Specific VO2 (mL/min/kg),Specific VCO2 (mL/min/kg),Respiratory Rate (1/min),Ventilation (sL/min)
0,-17,-14,0.833,0.00,0.00,20.90,20.92,0.085,0.065,71.6,1028.4,19.4,23.8,-16.8,-14.0,14,6.4
5,-17,-14,0.815,0.00,0.00,20.90,20.92,0.085,0.065,71.6,1028.4,19.4,23.8,-17.0,-13.9,6,9.6
10,-18,-14,0.771,0.00,0.00,20.90,20.92,0.085,0.065,71.6,1028.4,19.4,23.8,-17.8,-13.7,0,20.9
15,-17,-13,0.761,0.00,0.00,20.90,20.92,0.085,0.066,71.6,1028.4,19.4,23.8,-17.1,-13.0,0,14.6
20,-9,-1,0.075,0.00,0.00,20.90,20.91,0.085,0.084,152.2,1028.4,19.4,28.5,-8.6,-0.6,2,15.7
25,102,156,1.534,2.40,0.57,20.90,20.82,0.085,0.187,152.2,1028.4,19.4,28.5,101.8,156.1,13,9.4
30,395,411,1.042,8.42,2.01,20.90,20.63,0.085,0.355,152.2,1028.4,19.4,28.5,395.0,411.5,15,5.3
35,488,428,0.877,10.04,2.40,20.89,20.58,0.085,0.366,152.2,1028.4,19.4,28.5,488.2,428.1,16,11.0
40,368,316,0.859,7.54,1.80,20.89,20.66,0.085,0.293,152.2,1028.4,19.4,28.5,368.3,316.5,17,8.9
45,256,227,0.884,5.28,1.26,20.89,20.73,0.085,0.234,152.2,1028.4,19.4,28.5,256.2,226.5,20,10.8
50,185,167,0.904,3.82,0.91,20.89,20.78,0.085,0.195,152.2,1028.4,19.4,28.5,184.9,167.2,18,7.1
55,145,143,0.986,3.06,0.73,20.89,20.80,0.085,0.179,152.2,1028.4,19.4,28.5,145.4,143.4,17,6.8
60,154,154,0.998,3.26,0.78,20.89,20.79,0.085,0.186,152.2,1028.4,19.4,28.5,154.2,153.9,15,8.2
65,156,151,0.969,3.27,0.78,20.89,20.79,0.085,0.184,152.2,1028.4,19.4,28.5,155.7,150.9,19,8.6
70,151,153,1.011,3.21,0.77,20.89,20.80,0.085,0.186,152.2,1028.4,19.4,28.5,151.3,153.0,4,14.1
75,148,148,0.999,3.12,0.75,20.89,20.80,0.085,0.182,152.2,1028.4,19.4,28.5,147.7,147.6,5,11.7
80,136,134,0.988,2.87,0.69,20.89,20.81,0.085,0.173,462.1,1028.4,19.4,29.8,136.1,134.4,13,8.9
85,393,398,1.013,8.32,1.99,20.89,20.81,0.085,0.171,462.1,1028.4,19.4,29.8,392.5,397.6,13,9.2
90,427,431,1.010,9.04,2.16,20.89,20.80,0.085,0.178,462.1,1028.4,19.4,29.8,426.9,431.1,11,8.6
95,448,476,1.064,9.59,2.29,20.89,20.80,0.085,0.188,462.1,1028.4,19.4,29.8,447.7,476.3,10,8.4
100,535,597,1.116,11.59,2.77,20.89,20.78,0.085,0.214,462.1,1028.4,19.4,29.8,535.0,596.9,17,11.9
105,543,548,1.008,11.50,2.75,20.89,20.78,0.085,0.204,462.1,1028.4,19.4,29.8,543.3,547.8,15,7.6
110,439,440,1.004,9.27,2.22,20.89,20.80,0.085,0.180,462.1,1028.4,19.4,29.8,438.5,440.3,18,8.0
115,360,358,0.994,7.59,1.81,20.89,20.82,0.085,0.163,462.1,1028.4,19.4,29.8,359.9,357.6,25,6.7
120,351,369,1.050,7.50,1.79,20.89,20.82,0.085,0.165,462.1,1028.4,19.4,29.8,351.1,368.6,32,11.3
125,396,376,0.951,8.27,1.98,20.89,20.81,0.085,0.167,462.1,1028.4,19.4,29.8,395.8,376.4,31,10.1
130,366,326,0.891,7.55,1.80,20.89,20.82,0.085,0.156,462.1,1028.4,19.4,29.8,365.9,326.1,19,8.8
135,389,338,0.869,7.99,1.91,20.89,20.81,0.085,0.158,462.1,1028.4,19.4,29.8,389.5,338.5,19,10.8
140,497,405,0.815,10.07,2.41,20.89,20.79,0.085,0.173,462.1,1028.3,19.5,28.7,496.9,405.1,17,8.4
145,686,517,0.753,13.71,3.28,20.89,20.75,0.085,0.197,462.1,1028.3,19.5,28.7,686.0,516.5,16,6.0
150,756,545,0.721,14.99,3.58,20.89,20.74,0.085,0.203,462.1,1028.3,19.5,28.7,755.7,544.6,14,5.5
155,677,490,0.725,13.43,3.21,20.89,20.75,0.089,0.195,462.1,1028.3,19.5,28.7,676.6,490.3,15,7.2
160,567,441,0.777,11.39,2.72,20.89,20.78,0.089,0.184,462.1,1028.3,19.5,28.7,567.0,440.8,20,5.7
165,535,433,0.809,10.83,2.59,20.89,20.78,0.089,0.183,462.1,1028.3,19.5,28.7,535.1,433.1,4,7.9
170,472,379,0.804,9.55,2.28,20.89,20.79,0.089,0.171,462.1,1028.3,19.5,28.7,472.2,379.4,8,5.0
175,397,318,0.800,8.03,1.92,20.89,20.81,0.089,0.158,462.1,1028.3,19.5,28.7,397.3,318.0,7,13.1
180,386,303,0.786,7.77,1.86,20.89,20.81,0.089,0.155,462.1,1028.3,19.5,28.7,385.9,303.5,15,12.4
185,389,306,0.788,7.83,1.87,20.89,20.81,0.089,0.155,462.1,1028.3,19.5,28.7,388.7,306.3,16,9.2
190,454,357,0.787,9.14,2.18,20.89,20.80,0.089,0.166,462.1,1028.3,19.5,28.7,453.6,357.0,18,15.6
195,488,376,0.770,9.80,2.34,20.89,20.79,0.089,0.170,462.1,1028.3,19.5,28.7,488.3,376.0,21,20.2
200,512,431,0.842,10.44,2.50,20.89,20.79,0.089,0.182,461.8,1028.3,19.5,28.0,512.0,431.0,18,10.6
205,639,517,0.808,12.94,3.09,20.89,20.76,0.089,0.201,461.8,1028.3,19.5,28.0,639.4,516.8,21,9.8
210,636,486,0.764,12.74,3.04,20.89,20.76,0.089,0.194,461.8,1028.3,19.5,28.0,636.0,485.7,20,12.6
215,724,557,0.769,14.53,3.47,20.89,20.74,0.089,0.210,461.8,1028.3,19.5,28.0,724.4,557.4,17,10.4
220,806,593,0.735,16.04,3.83,20.89,20.73,0.089,0.217,461.8,1028.3,19.5,28.0,806.1,592.8,16,12.5
225,740,551,0.745,14.76,3.53,20.89,20.74,0.089,0.209,461.8,1028.3,19.5,28.0,740.0,551.5,19,13.0
