tijd,VO2 (mL/min),VCO2 (mL/min),RER,Energy Expenditure (kJ/min),Energy Expenditure (kcal/min),FiO2 (%),FeO2 (%),FiCO2 (%),FeCO2 (%),Flow (sL/min),Pressure Ambient (mbar),Temperature Flow (Degrees Celsius),Relative Humidity Flow (%),Specific VO2 (mL/min/kg),Specific VCO2 (mL/min/kg),Respiratory Rate (1/min),Ventilation (sL/min)
0,-2,4,-1.735,0.00,0.00,20.88,20.88,0.098,0.103,75.2,1027.8,19.2,24.6,-2.1,3.7,0,0.0
5,-1,4,-3.193,0.00,0.00,20.88,20.88,0.098,0.104,75.2,1027.8,19.2,24.6,-1.3,4.2,0,0.0
10,-7,1,-0.093,0.00,0.00,20.88,20.88,0.103,0.104,75.2,1027.8,19.2,24.6,-7.2,0.7,0,0.0
15,-7,0,-0.035,0.00,0.00,20.88,20.88,0.103,0.104,75.2,1027.8,19.2,24.6,-7.3,0.3,0,0.0
20,-8,-1,0.098,0.00,0.00,20.88,20.89,0.103,0.102,75.2,1027.8,19.2,24.6,-8.5,-0.8,0,0.0
25,-10,-1,0.084,0.00,0.00,20.88,20.89,0.103,0.102,75.2,1027.8,19.2,24.6,-9.8,-0.8,0,0.0
30,-8,0,0.013,0.00,0.00,20.88,20.89,0.103,0.103,75.2,1027.8,19.2,24.6,-8.3,-0.1,0,0.0
35,-8,0,0.011,0.00,0.00,20.88,20.88,0.103,0.103,75.2,1027.8,19.2,24.6,-7.9,-0.1,0,0.0
40,-8,0,-0.034,0.00,0.00,20.88,20.88,0.103,0.104,75.2,1027.8,19.2,24.6,-7.8,0.3,0,0.0
45,-6,1,-0.225,0.00,0.00,20.88,20.88,0.103,0.105,75.2,1027.8,19.2,24.6,-6.2,1.4,0,0.0
50,-6,3,-0.457,0.00,0.00,20.88,20.88,0.103,0.107,75.2,1027.8,19.2,24.6,-5.6,2.6,0,0.0
55,-20,-17,0.845,0.00,0.00,20.88,20.90,0.103,0.080,433.7,1027.8,19.2,24.2,-20.2,-17.1,0,0.0
60,-117,-100,0.847,0.00,0.00,20.88,20.90,0.103,0.080,433.7,1027.8,19.2,24.2,-117.5,-99.5,0,0.0
65,-125,-108,0.861,0.00,0.00,20.88,20.90,0.103,0.078,433.7,1027.8,19.2,24.2,-125.2,-107.8,0,0.0
70,-131,-112,0.860,0.00,0.00,20.88,20.91,0.103,0.077,433.7,1027.8,19.2,24.2,-130.6,-112.2,0,0.0
75,-129,-105,0.811,0.00,0.00,20.88,20.91,0.103,0.079,433.7,1027.8,19.2,24.2,-129.2,-104.8,0,0.0
80,-114,-91,0.791,0.00,0.00,20.88,20.90,0.103,0.082,433.7,1027.8,19.2,24.2,-114.4,-90.5,0,0.0
85,-92,-68,0.747,0.00,0.00,20.88,20.90,0.103,0.087,433.7,1027.8,19.2,24.2,-91.7,-68.5,0,0.0
90,-65,-51,0.786,0.00,0.00,20.88,20.89,0.103,0.091,433.7,1027.8,19.2,24.2,-65.5,-51.5,0,0.0
95,-63,-50,0.802,0.00,0.00,20.88,20.89,0.103,0.092,433.7,1027.8,19.2,24.2,-62.5,-50.1,0,0.0
100,-71,-57,0.805,0.00,0.00,20.88,20.89,0.103,0.090,433.7,1027.8,19.2,24.2,-70.6,-56.8,0,0.0
105,-76,-56,0.731,0.00,0.00,20.88,20.89,0.103,0.090,433.7,1027.8,19.2,24.2,-76.4,-55.8,0,0.0
110,-67,-47,0.699,0.00,0.00,20.88,20.89,0.103,0.092,433.7,1027.8,19.2,24.2,-66.7,-46.7,0,0.0
115,-55,-39,0.711,0.00,0.00,20.88,20.89,0.103,0.094,497.8,1027.8,19.2,25.8,-55.5,-39.5,0,0.0
120,-59,-47,0.790,0.00,0.00,20.88,20.89,0.103,0.094,497.8,1027.8,19.2,25.8,-59.5,-47.0,0,0.0
125,-69,-54,0.783,0.00,0.00,20.88,20.89,0.103,0.092,497.8,1027.8,19.2,25.8,-68.9,-54.0,0,0.0
130,-58,-41,0.709,0.00,0.00,20.88,20.89,0.100,0.092,497.8,1027.8,19.2,25.8,-58.0,-41.1,0,0.0
135,-61,-39,0.638,0.00,0.00,20.88,20.89,0.100,0.092,497.8,1027.8,19.2,25.8,-61.0,-39.0,0,0.0
140,-56,-36,0.649,0.00,0.00,20.88,20.89,0.100,0.093,497.8,1027.8,19.2,25.8,-55.5,-36.0,0,0.0
145,-63,-35,0.559,0.00,0.00,20.88,20.89,0.100,0.093,497.8,1027.8,19.2,25.8,-63.3,-35.3,0,0.0
150,-60,-35,0.593,0.00,0.00,20.88,20.89,0.100,0.093,497.8,1027.8,19.2,25.8,-59.5,-35.3,0,0.0
155,-57,-37,0.644,0.00,0.00,20.88,20.89,0.100,0.093,497.8,1027.8,19.2,25.8,-56.7,-36.5,0,0.0
160,-51,-31,0.606,0.00,0.00,20.88,20.89,0.100,0.094,497.8,1027.8,19.2,25.8,-50.6,-30.7,0,0.0
165,-38,-17,0.453,0.00,0.00,20.88,20.89,0.100,0.097,497.8,1027.8,19.2,25.8,-37.9,-17.1,0,0.0
170,-24,-11,0.434,0.00,0.00,20.88,20.88,0.100,0.098,497.8,1027.8,19.2,25.8,-24.5,-10.6,0,0.0
175,-20,-12,0.585,0.00,0.00,20.88,20.88,0.100,0.098,499.4,1027.7,19.2,26.6,-19.7,-11.5,0,0.0
180,-24,-18,0.729,0.00,0.00,20.88,20.88,0.100,0.097,499.4,1027.7,19.2,26.6,-24.4,-17.8,0,0.0
185,-34,-30,0.892,0.00,0.00,20.88,20.89,0.100,0.094,499.4,1027.7,19.2,26.6,-33.8,-30.2,0,0.0
190,-46,-37,0.810,0.00,0.00,20.88,20.89,0.100,0.093,499.4,1027.7,19.2,26.6,-45.8,-37.2,0,0.0
195,-54,-40,0.752,0.00,0.00,20.88,20.89,0.100,0.092,499.4,1027.7,19.2,26.6,-53.8,-40.5,0,0.0
200,-63,-45,0.727,0.00,0.00,20.88,20.89,0.100,0.091,499.4,1027.7,19.2,26.6,-62.6,-45.5,0,0.0
